#start_time(samples),start_time(iso),end_time(samples),end_time(iso),current_mean(A),current_min(A),current_max(A),voltage_mean(V),voltage_min(V),voltage_max(V),power_mean(W),power_min(W),power_max(W),charge(C),charge(Ah),energy(J),energy(Wh)
638893006,2023-01-18T13:06:47.134007,676940813,2023-01-18T13:07:06.198254,0.00735227,0.00353924,0.0114065,3.2781,3.26145,3.29437,0.0241005,0.0116435,0.0372537,0.139869,3.88525e-05,0.458485,0.000127357
676948793,2023-01-18T13:07:06.207037,676957959,2023-01-18T13:07:06.209318,0.00947797,0.00903947,0.00996117,3.27144,3.26599,3.27508,0.0310066,0.0295947,0.0325897,4.34281e-05,1.20634e-08,0.000142072,3.94645e-08
687080773,2023-01-18T13:07:11.244847,724720588,2023-01-18T13:07:30.096008,0.00736071,0.00352428,0.0114095,3.27789,3.26145,3.29324,0.0241265,0.0115943,0.0372635,0.138528,3.848e-05,0.454059,0.000126128
724728435,2023-01-18T13:07:30.097605,724737607,2023-01-18T13:07:30.099489,0.0094763,0.00925194,0.00992526,3.2708,3.26713,3.27508,0.0309951,0.0302378,0.0324722,4.34488e-05,1.20691e-08,0.000142112,3.94757e-08
734972524,2023-01-18T13:07:35.228131,772129531,2023-01-18T13:07:53.864651,0.00737339,0.00354223,0.0114155,3.27783,3.26145,3.29437,0.0241677,0.0116574,0.0372571,0.136987,3.80518e-05,0.449,0.000124722
772137422,2023-01-18T13:07:53.866229,772146596,2023-01-18T13:07:53.868024,0.00948154,0.00907838,0.00997912,3.27128,3.26713,3.27508,0.0310167,0.0297015,0.0326371,4.34823e-05,1.20784e-08,0.000142243,3.95119e-08
782268841,2023-01-18T13:07:58.854266,818834574,2023-01-18T13:08:17.190642,0.00738132,0.00356917,0.0114036,3.2778,3.26032,3.29324,0.0241935,0.011746,0.0372439,0.134952,3.74866e-05,0.442326,0.000122868
818842348,2023-01-18T13:08:17.192771,818851515,2023-01-18T13:08:17.202150,0.00948306,0.00924895,0.010015,3.27079,3.26713,3.27508,0.0310171,0.030249,0.0327431,4.34561e-05,1.20711e-08,0.000142136,3.94822e-08
829010473,2023-01-18T13:08:22.236050,866728814,2023-01-18T13:08:41.062518,0.00736529,0.00352428,0.0114664,3.27794,3.26145,3.29324,0.0241419,0.0115943,0.0374622,0.138903,3.85842e-05,0.455297,0.000126471
866736740,2023-01-18T13:08:41.063312,866745915,2023-01-18T13:08:41.070285,0.00948333,0.00906042,0.00992526,3.27102,3.26713,3.27508,0.0310201,0.0296427,0.0324609,4.34953e-05,1.2082e-08,0.000142274,3.95205e-08
876918287,2023-01-18T13:08:46.205585,915152370,2023-01-18T13:09:05.331841,0.0073588,0.00351829,0.0114006,3.27819,3.26145,3.29324,0.0241225,0.0115666,0.0372503,0.140679,3.90774e-05,0.461151,0.000128098
915160280,2023-01-18T13:09:05.334079,915169448,2023-01-18T13:09:05.336215,0.0094802,0.00906341,0.00992825,3.27107,3.26713,3.27508,0.0310104,0.0296525,0.0324594,4.34477e-05,1.20688e-08,0.00014212,3.94779e-08
925338848,2023-01-18T13:09:10.361564,963369374,2023-01-18T13:09:29.382416,0.00736309,0.00352727,0.0114425,3.27793,3.26145,3.29437,0.0241347,0.0116081,0.037358,0.140011,3.8892e-05,0.458927,0.00012748
963377367,2023-01-18T13:09:29.486535,963386537,2023-01-18T13:09:29.488393,0.00948618,0.00903349,0.00989533,3.27075,3.26713,3.27508,0.0310269,0.0295751,0.032363,4.34847e-05,1.20791e-08,0.000142227,3.95075e-08
973590202,2023-01-18T13:09:34.505025,1020149281,2023-01-18T13:09:57.812721,0.00737219,0.0035542,0.0114544,3.27772,3.26145,3.29324,0.024163,0.0116927,0.0373841,0.171621,4.76726e-05,0.562502,0.000156251
1020157262,2023-01-18T13:09:57.814014,1020168503,2023-01-18T13:09:57.815957,0.00948243,0.00922501,0.00991927,3.27109,3.26713,3.27508,0.0310179,0.0301812,0.0324301,5.32865e-05,1.48018e-08,0.000174305,4.8418e-08
1030400655,2023-01-18T13:10:02.933260,1076151814,2023-01-18T13:10:25.855303,0.00738172,0.00354223,0.0114215,3.27788,3.26145,3.29437,0.0241953,0.0116534,0.0373026,0.168861,4.69059e-05,0.553482,0.000153745
